,coravacine
2997,0
2998,1
2999,1
3000,0
3001,1
3002,1
3003,1
3004,0
3005,0
3006,0
3007,1
3008,0
3009,0
3010,0
3011,1
3012,1
3013,1
3014,0
3015,1
3016,0
3017,1
3018,1
3019,1
3020,1
3021,1
3022,0
3023,0
3024,0
3025,0
3026,0
3027,1
3028,0
3029,1
3030,1
3031,1
3032,0
3033,0
3034,1
3035,1
3036,1
3037,1
3038,1
3039,1
3040,1
3041,1
3042,1
3043,0
3044,1
3045,0
3046,0
3047,1
3048,0
3049,1
3050,1
3051,1
3052,1
3053,1
3054,0
3055,1
3056,1
3057,1
3058,0
3059,1
3060,1
3061,0
3062,1
3063,1
3064,1
3065,0
3066,0
3067,1
3068,1
3069,1
3070,1
3071,0
3072,1
3073,1
3074,0
3075,0
3076,1
3077,0
3078,1
3079,1
3080,0
3081,0
3082,0
3083,1
3084,0
3085,1
3086,0
3087,1
3088,1
3089,1
3090,0
3091,1
3092,0
3093,1
3094,1
3095,1
3096,1
3097,1
3098,0
3099,1
3100,1
3101,0
3102,1
3103,0
3104,1
3105,0
3106,1
3107,1
3108,1
3109,0
3110,0
3111,1
3112,0
3113,0
3114,1
3115,0
3116,0
3117,0
3118,0
3119,0
3120,1
3121,1
3122,0
3123,0
3124,1
3125,1
3126,1
3127,0
3128,1
3129,1
3130,0
3131,0
3132,1
3133,0
3134,1
3135,1
3136,1
3137,1
3138,0
3139,0
3140,0
3141,0
3142,1
3143,0
3144,1
3145,1
3146,1
3147,0
3148,0
3149,0
3150,1
3151,1
3152,1
3153,1
3154,0
3155,1
3156,0
3157,0
3158,0
3159,0
3160,0
3161,1
3162,0
3163,0
3164,0
3165,1
3166,0
3167,0
3168,1
3169,0
3170,1
3171,1
3172,1
3173,0
3174,0
3175,1
3176,0
3177,1
3178,1
3179,1
3180,1
3181,0
3182,1
3183,1
3184,1
3185,1
3186,1
3187,0
3188,1
3189,0
3190,1
3191,0
3192,0
3193,0
3194,0
3195,0
3196,1
3197,1
3198,0
3199,0
3200,0
3201,1
3202,1
3203,0
3204,1
3205,1
3206,1
3207,0
3208,0
3209,1
3210,1
3211,0
3212,0
3213,0
3214,0
3215,0
3216,1
3217,1
3218,1
3219,0
3220,1
3221,0
3222,1
3223,1
3224,1
3225,1
3226,0
3227,1
3228,0
3229,0
3230,0
3231,1
3232,1
3233,0
3234,1
3235,1
3236,0
3237,0
3238,1
3239,1
3240,0
3241,1
3242,0
3243,1
3244,0
3245,0
3246,1
3247,0
3248,0
3249,1
3250,0
3251,0
3252,1
3253,0
3254,0
3255,0
3256,0
3257,1
3258,0
3259,0
3260,1
3261,1
3262,0
3263,1
3264,0
3265,1
3266,0
3267,0
3268,0
3269,0
3270,1
3271,0
3272,0
3273,0
3274,0
3275,1
3276,0
3277,1
3278,1
3279,0
3280,1
3281,0
3282,1
3283,1
3284,1
3285,0
3286,1
3287,0
3288,1
3289,1
3290,0
3291,0
3292,1
3293,1
3294,0
3295,1
3296,1
3297,1
3298,1
3299,0
3300,0
3301,1
3302,0
3303,0
3304,1
3305,0
3306,1
3307,1
3308,1
3309,1
3310,1
3311,1
3312,0
3313,1
3314,1
3315,0
3316,0
3317,1
3318,1
3319,1
3320,0
3321,1
3322,0
3323,0
3324,0
3325,1
3326,0
3327,1
3328,1
3329,1
3330,1
3331,1
3332,1
3333,1
3334,1
3335,0
3336,0
3337,1
3338,0
3339,0
3340,0
3341,1
3342,1
3343,0
3344,0
3345,1
3346,1
3347,1
3348,1
3349,1
3350,0
3351,1
3352,1
3353,1
3354,1
3355,0
3356,0
3357,0
3358,1
3359,1
3360,0
3361,1
3362,0
3363,1
3364,0
3365,0
3366,0
3367,0
3368,1
3369,1
3370,1
3371,0
3372,1
3373,1
3374,0
3375,0
3376,1
3377,1
3378,1
3379,1
3380,1
3381,1
3382,1
3383,0
3384,1
3385,1
3386,1
3387,1
3388,1
3389,0
3390,0
3391,0
3392,1
3393,0
3394,0
3395,0
3396,1
3397,1
3398,1
3399,1
3400,0
3401,0
3402,1
3403,0
3404,0
3405,0
3406,0
3407,0
3408,1
3409,1
3410,0
3411,1
3412,1
3413,1
3414,1
3415,1
3416,1
3417,1
3418,0
3419,1
3420,1
3421,0
3422,0
3423,0
3424,1
3425,1
3426,1
3427,0
3428,1
3429,0
3430,1
3431,1
3432,0
3433,0
3434,1
3435,1
3436,1
3437,0
3438,1
3439,0
3440,1
3441,1
3442,1
3443,1
3444,0
3445,0
3446,1
3447,0
3448,1
3449,0
3450,1
3451,1
3452,0
3453,0
3454,1
3455,0
3456,0
3457,0
3458,0
3459,0
3460,0
3461,0
3462,0
3463,0
3464,0
3465,1
3466,1
3467,1
3468,0
3469,1
3470,1
3471,1
3472,0
3473,1
3474,1
3475,1
3476,1
3477,0
3478,0
3479,1
3480,0
3481,0
3482,0
3483,1
3484,1
3485,1
